#cell        type      caraway         kiwi
155             3           13           25
156             1          604         2032
157             4          862           15
158             0           28         1339
159             1         2037         2133
160             2          419          109
161             2          299          115
162             1         2800          640
163             2          252          408
164             2          156          261
165             0            6         2083
166             2          583          205
167             2          220          807
168             0           43         1098
169             3           45           25
170             2          154          199
171             2          181           63
172             1         2798         1090
173             1         1251         1833
174             3           13           85
175             1         3452          193
176             2          156          366
177             3           32           72
178             1         2765         2708
179             2          752          269
180             4         2732           12
181             3           12           16
182             2          281          374
183             2          243          545
184             4         1474           11
185             1         1859         1465
186             1         1101         1525
187             4          515           18
188             4         2554           36
189             0           40         1102
190             0           23         2060
191             1         1639         2211
192             3           41           11
193             2          279          432
194             2          402          348
195             1         2646         2353
196             3           19           11
197             1         1647          502
198             2          208          163
199             2          161          382
200             2          193          233
201             2          224          478
202             1         2372         2159
203             2          112          454
204             2          352          232
205             2          320          595
206             4         2179           33
207             2          330          180
208             3           31           32
209             2          279          168
210             2          393          172
211             4         1981           54
212             4         1943            7
213             2          181          156
214             3           39           30
215             3           27           22
216             2          256           83
217             2          309          220
218             2          214          548
219             1         1077         1943
220             2          199          214
221             0            9         1710
222             3           21           24
223             2          169          191
224             1          648         1263
225             2          412          234
226             2          223          324
227             2          496          273
228             4         2774           13
229             2           82          230
230             2           86          303
231             2          223          296
232             1          505         4915
233             4         2932           26
234             0           13         1768
235             1         2347         1529
236             2          321          323
237             2          380          430
238             2          882          484
239             3           18           36
240             4          855           13
241             0           26         5078
242             2          336          325
243             0           51         1903
244             3           16           44
245             4         2172           34
246             0           16          350
247             3           23           19
248             2          158          167
249             4         2407           37
250             2          320          101
251             2           79          443
252             1         2005         4599
253             4         1099            7
254             3            8           39
255             0           64         2649
256             2          242          378
257             2          412          253
258             2          461          325
259             0           19         1355
260             3           15           76
261             1          847          910
262             2          380          607
263             3           25           29
264             2          247          270
265             3           33           12
266             3           14           13
267             2          648          379
268             1         1026          654
269             0           24         2563
270             2          238          364
271             2          691          425
272             3           34           27
273             3           10           39
274             1         1772          776
275             3           76           26
276             4         6845           11
277             2          191          291
278             3           71            5
279             2          528          422
280             1         2942         1953
281             0           36         3008
282             3           30           65
283             2          281           88
284             4         2483           31
285             2          440          355
286             1         1989          837
287             1          938         1643
288             3           22           29
289             2          116          370
290             1         2143         3088
291             3           32           24
292             2          143          208
293             1         2624         3857
294             3           76            6
295             2          159           76
296             1         1007         1206
297             4         1710           13
298             1         1832          979
299             3           39           29
300             2          116           97
301             2          160          167
302             2          478          332
303             1         4577         3643
304             3           21           40
305             2          147           57
306             3           39           30
307             2          530          274
308             2          123          167
309             0           45         1613
310             2          249          178
311             1         1882         2376
312             3           33           30
313             2          184          279
314             3           35           19
315             3           47           21
316             3          107           33
317             2          548          247
318             2          384          187
319             1         1331         1081
320             1         1900         2014
321             2          279          606
322             1          794          658
323             2          428          147
324             3           43           24
325             4         3389           41
326             3           36           34
327             3           22           70
328             1         6139         2371
329             2          132          296
330             2          150          409
331             1         2954         1954
332             2          397          262
333             1          655         1774
334             3            6           44
335             3           23           42
336             2          251          595
337             3           16           20
338             4         2110           31
339             1         1509         2025
340             3           25           40
341             3           31           18
342             4         3479           17
343             3           14           19
344             1         1007         2771
345             1         1575         1473
346             2          251          300
347             3           37           31
348             2          400          535
349             1         2738          224
350             3           48           44
351             0           21         1052
352             4         2273           34
353             1         3035          964
354             4         1619           15
355             2          224          335
356             1         1486         1338
357             1         3126         2383
358             1         2251         1582
359             3           21            7
360             2          284          199
361             3           41           33
362             2          206          498
363             1         1317         2830
364             0           34         4093
365             1         1631         1374
366             1         1854         1767
367             4         1423           60
368             2          476          616
369             2          231          456
370             0           30         1641
371             1         1972         2807
372             2          472          268
373             2          681          463
374             2          397          288
375             2          293          348
376             0          129         2503
377             0           29         2073
378             3           34           55
379             3           21           28
380             0           21          965
381             3           25           41
382             0           31         1730
383             3            8           14
384             4         4045           20
385             2          132          175
386             0           64         1065
387             3           30           24
388             0           28         2679
389             1         1195         2945
390             2          278          222
391             1         3125         2452
392             2          304          420
393             2          205          105
394             2          295          338
395             2          149          260
396             2          239          392
397             2          296          254
398             3           32           11
399             4         1830           26
400             4         1150           23
401             1         2546         1674
402             4          299           24
403             1         1730         5167
404             0           22         2538
405             2          594          290
406             4         2107           34
407             4          732            6
408             2          447          253
409             2          236          234
410             2          319           58
411             3           42           38
412             2          113          222
413             3           19           20
414             3           33           18
415             2          424          202
416             1         2272         2043
417             2          113          208
418             2          100          531
419             3           46           26
420             2          238          329
421             4         1366           35
422             2          208          319
423             2          171          404
424             1         2393         1094
425             1         1368         1609
426             2          326          326
427             3           13           22
428             4          864           18
429             2          182          569
430             1         1816         1691
431             1         1998         1225
432             2          210          206
433             2          138          248
434             2          310          205
435             3           53           29
436             1         2870         1222
437             3           28           43
438             1         3012         3878
439             2          662          101
440             2          208          225
441             1         2004         1563
442             3           43           35
443             3           27           24
444             3           20           22
445             3           33           11
446             1         3841         1593
447             2          418          364
448             3           29           18
449             4         2247           15
450             1         1328         1569
451             2          541           84
452             3           36           52
453             2          185           83
454             3           15           13
455             2           78          263
456             2          762          297
457             2          342          324
458             2          273          449
459             2          393          324
460             0           75         2201
461             1         1198         3129
462             2          241          273
463             4         1349           40
464             2          214          223
465             0           12         2286
466             4         2654           26
467             1          186          814
468             2           75          135
469             1         3693         1098
470             1         1372          551
471             1          850         1148
472             1          689         2436
473             2          348          320
474             2          257          521
475             2          458          295
476             2          458          334
477             3           10           28
478             2          160          190
479             0           11         1551
480             0           71         1492
481             3           40           25
482             4         2931           37
483             1          167         1778
484             2          588          335
485             2          154          199
486             1         1472         2685
487             1         4066         2230
488             3           54           37
489             2           52          202
490             2          431          203
491             2          266          676
492             2          255          380
493             2          244          296
494             3           50           26
495             2          271          107
496             2          438          275
497             2          487          105
498             1         3408         1786
499             2          202          303
500             2          363          198
501             3           77           16
502             0           28          435
503             2          171           34
504             1         3008          245
505             1         2159         1179
506             1         1637         3868
507             1         2054         2916
508             4         3842           28
509             3           20            9
510             4         1225           36
511             2          647          120
512             4         4516           20
513             3           26           52
514             1         1056         2851
515             1         2249          869
516             3           28           18
517             3           31           63
518             2          261          481
519             2          417          373
520             2          214          322
521             1         2052          823
522             4         2109           25
523             2          574          136
524             3           17           31
525             4         1728            4
526             0           31         1896
527             3            9           34
528             0           40         2249
529             1         1589         1785
530             2          359          210
531             3           19           44
532             3           27           14
533             2          396          336
534             2          211          247
535             2          219          236
536             3           31           23
537             3           17           16
538             0           23         1865
539             2          239          403
540             3           49           82
541             1         1847          944
542             2          428          236
543             0            6         2443
544             2          292          236
545             0           31         2261
546             2          206          178
547             3           33           27
548             1          919         1853
549             2          450          389
550             3           15           54
551             1         2874          828
552             2          840          242
553             2          107          306
554             2          214          207
555             1         1606         1558
556             4         5952            8
557             2          288          479
558             3           38           42
559             1         1980         3429
560             4         1868           72
561             3           28           30
562             2          183          312
563             3           16           18
564             0           13         1401
565             2          406          399
566             1          448         2144
567             2          312          176
568             2          178          216
569             4         5455           54
570             1         3377          560
571             2          196          656
572             2          417          402
573             3           20           38
574             0           34         1357
575             1         1822          670
576             2          475          342
577             3           34           35
578             2          144          174
579             2          473          185
580             4          871           14
581             2          290          275
582             3           41           23
583             1          624         1686
584             2          383          367
585             1         3561         2287
586             2          463          576
587             4         1823           29
588             2          155          396
589             2          647          348
590             2          396          252
591             2          214          307
592             2          203          130
593             2          244          283
594             2          344          146
595             1         2420         2438
596             4         1227           37
597             1         3654         2745
598             2          498          284
599             0           83         3591
600             2          112          562
601             2          269          218
602             3           17           18
603             4         2298           16
604             2          183          294
605             2          118          490
606             2          404          114
607             4         1643           23
608             1          738         1682
609             0           34          994
610             2          444          271
611             1         1524         1482
612             2          279          300
613             2          116          265
614             0           15         2239
615             1         1903          346
616             0           28         1219
617             1         1439         1155
618             2          211          376
619             0           11         2245
620             3           62           57
621             1         3120          932
622             2           96          721
623             3           57           21
624             0           21         1516
625             3           37           27
626             2          240          503
627             2          107          247
628             2          356          235
629             0           29         1032
630             2          591          804
631             2          139          137
632             2          520          337
633             2          112          137
634             1          751         1309
635             2          172          262
636             1         1224         2214
637             3           31            9
638             0           21         1568
639             3           19           31
640             3           28           25
641             2          250         1024
642             1         2242          952
643             2          145           73
644             4          422           31
645             2          233          132
646             0           23          922
647             2          182           59
648             3           19           11
649             1         1072         1594
650             3           36           30
651             3           58           58
652             2          162           56
653             3           12           33
654             2          493          347
655             1         3664         2082
656             2          206          410
657             2          230          295
658             0           13         2238
659             3           11           51
660             0           41         1154
661             2          222          212
662             3           44           18
663             3           36           53
664             3           72           43
665             2          267          178
666             1         2483         1938
667             0           20         1638
668             0           28         4811
669             0           45         1583
670             1          893         1211
671             2          437          615
672             1         2909          842
673             3           10            4
674             1         3785          896
675             3           17           27
676             1         1545         1835
677             1         2007         2133
678             1         2750          945
679             2          382          399
680             1         3325         2763
681             2          548          411
682             2          440          251
683             2          154          317
684             2          639          329
685             1         2160         2746
686             2          149           58
687             3           20           55
688             3           25           12
689             2          210          267
690             0           53         1415
691             1         1694          924
692             2          267           92
693             1         1655          516
694             2          591          185
695             2          235          218
696             2           53          161
697             2          199          485
698             2          728          666
699             1         1713         1750
700             2          168          403
701             1          741         1291
702             3           16            9
703             3           64           59
704             2          128          521
705             4         1181           30
706             2          137          473
707             3           40           27
708             2          485           80
709             2          735          351
710             0           26         2378
711             1         2297          847
712             0           25         3599
713             2          372          119
714             3           23           31
715             3           10           61
716             2          288          531
717             2          466          328
718             2          388          163
719             2          324          147
720             0           41         2562
721             2          577          511
722             0           46         1848
723             2          214          382
724             3           62           45
725             3           52           47
726             3           41           21
727             3           36           14
728             3           43           24
729             1         1850         2342
730             4         2279           26
731             2          255          202
732             3           26           27
733             3           33           38
734             1          373         2708
735             2          329          366
736             3            8           35
737             0           51         1818
738             2          116          253
739             4         2086           34
740             1         4863         1906
741             2          194          102
742             1         1914         3122
743             1         1450          776
744             3           29           62
745             4         2902           11
746             1         2021          466
747             2          477          117
748             2          339          295
749             1         1034         1481
750             2          298          197
751             2          172          340
752             2          147          167
753             1          518         1034
754             0           25         1130
755             2          288          264
756             2          383          219
757             2          115          138
758             3           27           18
759             2          272          721
760             2          217          529
761             2          589          106
762             1         3379         2128
763             2          275          359
764             2          639          183
765             2          484          162
766             2          318          670
767             1         2492         3857
768             3           20           18
769             2          485          148
770             4         1804           46
771             2          519          137
772             4          699           28
773             0           21         1638
774             3           12           39
775             1         1202         3727
776             3           15           21
777             3           17           42
778             2          124          260
779             2          186          140
780             0           18         2648
781             2          395          257
782             1         5625         1399
783             1          280          416
784             2          517           90
785             2          526          437
786             3           13           34
787             2          374          206
788             2          671           82
789             1          882         1146
790             4          696           26
791             2          182          267
792             0           11         1604
793             2          419          106
794             3           38           29
795             2          158          303
796             2          109          534
797             2          165          805
798             0           17         2745
799             2          350          594
800             0           51         1385
801             4         3173           25
802             1          948          927
803             2          197          280
804             3           43           14
805             2          326          528
806             4         1064           28
807             2          246          469
808             0            8         2049
809             3           59           32
810             4         1689           39
811             3           17           28
812             2          300          214
813             2           78          256
814             2          337          197
815             0            9         2853
816             0           22          764
817             2          351          203
818             2          383          664
819             0           70         1202
820             2          334          224
821             1         1698         2846
822             2          265          498
823             2          254          129
824             1         1172         2853
825             1         1456          915
826             3           19           34
827             4         1534           16
828             0           12          560
829             3           38           19
830             2          200          290
831             1         5204         1859
832             3           46            8
833             2          422          195
834             2          285          180
835             2          417          380
836             2          168          292
837             2           83          257
838             2          200          311
839             1         2303         1862
840             3           21           34
841             1          987         1124
842             3           16           28
843             2           67          489
844             4         1173           27
845             2          250          493
846             4         1901           36
847             3            9           25
848             0           13         2761
849             3           20           10
850             2          472          558
851             2          398          133
852             1          768         3321
853             3           29           43
854             4         1317           54
855             2          573           97
856             2          598          167
857             2          276          161
858             3           15           35
859             2          123          269
860             1         2595         2864
861             1          663         1503
862             2          509          244
863             2          182          353
864             2          294          406
865             3           23           23
866             0           44         1236
867             2           41          184
868             3           61           10
869             3           15           43
870             2          219          184
871             1         2228          792
872             2          334          523
873             2          420          216
874             4         3249           19
875             4         2377           27
876             1          452         1171
877             2          599          261
878             3           32           24
879             1         2000         3628
880             2          348          453
881             2          672           95
882             3           21           50
883             2          610          181
884             3           18           17
885             1         2554         4099
886             0           13          756
887             1          643         2859
888             0           13          612
889             3           43           13
890             4         2319           64
891             3           21           34
892             1         1310         1816
893             3           54           33
894             2          352          190
895             2          235          504
896             2          518          774
897             2          348          365
898             2          140          622
899             1           31          285
900             2          440          100
901             1         4270         3904
902             1         2565         2414
903             3           28           23
904             2          209          186
905             1         2812         1773
906             2          405          438
907             1         2594          985
908             2          480          192
909             3           17           28
910             1         2155         3184
911             2          215          221
912             4         1585           27
913             1         1072          727
914             2          215          216
915             2          250          319
916             2          181          382
917             2          310          134
918             2          338          152
919             1         1266         1744
920             0            9         1978
921             2          175          293
922             2          115          144
923             2          144          191
924             3           34           27
925             1         1266          772
926             2          130          357
927             3           23            9
928             1          861          832
929             2          132          211
930             1         1393         1095
931             3           15           26
932             3           72           29
933             2          124          188
934             2          406          455
935             2          145          282
936             1         1262         1194
937             2          224          164
938             2          181          255
939             2          144           94
940             1         3580         1491
941             1          914         1487
942             0           48         2500
943             0            8         7538
944             3           17           76
945             2          187          403
946             1         2661         2937
947             2          234          129
948             2           95          501
949             2          433          173
950             1         1925         1713
951             2          232          331
952             2          418          400
953             3           32           36
954             3           18           45
955             1          520         1090
956             2          187          189
957             2          121          203
958             1         1016          266
959             2          288           51
960             2          294          109
961             2          231           73
962             4          740            5
963             2          284          268
964             2          170          162
965             3            6           22
966             2          652          340
967             2          269          411
968             2          215          219
969             3           17           14
970             2          320          405
971             3           28           13
972             1         2313         2435
973             4         1537           65
974             2          185          224
975             4         4058           64
976             3           79           20
977             2          400          191
978             2          155           60
979             1         2502         1757
980             2          323          271
981             2          475          318
982             3           24           26
983             1         4846         1520
984             1         2493         1179
985             3           19           23
986             1          888          596
987             1         3436         1376
988             4         1670           64
989             3           46           52
990             1         3539         2355
991             2          255          548
992             2          144          781
993             4         1039           13
994             2          608         1020
995             2          244           26
996             1          951         1352
997             3           35            7
998             3           31           24
999             4         1783           23
