# gene_name         0h    12h    24h    48h    96h 
lentil            69.6   35.4   18.2    2.9    0.1 
lettuce           42.9   43.2   41.1   27.7    8.6 
lime              43.5   46.5   40.9   26.7    6.0 
maize             49.8   39.9   26.4   10.0    0.9 
mango             40.4   30.4   19.3    5.7    0.4 
melon              4.2    2.7    1.5    0.3    0.0 
mulberry          23.0   24.6   25.2   17.4    6.6 
mushroom          26.9   25.0   20.7   10.2    1.9 
mustard           65.8   79.6   84.5   80.1   46.8 
nectarine         11.1    9.3    6.2    2.0    0.1 
okra              23.2   19.3   14.2    7.5    1.1 
olive             38.9   21.3    9.9    1.7    0.0 
onion             10.0    4.0    1.6    0.2    0.0 
orange             9.6   10.7   11.2    9.6    4.3 
oregano            5.7    4.8    3.8    1.8    0.2 
papaya             9.0    9.3    7.7    5.1    1.4 
parsley           15.6   19.6   21.8   21.9   12.4 
parsnip           17.4   10.4    5.8    1.3    0.1 
pea               79.6   93.1   85.7   55.9   16.9 
peach             14.7   12.1   10.4    4.9    0.7 
pear               5.7    3.5    1.9    0.5    0.0 
pepper           123.9  120.8  136.5   95.6   39.1 
persimmon          5.7    2.9    1.3    0.2    0.0 
pineapple         11.7    9.3    6.0    1.7    0.1 
plantain          17.7   11.4    5.6    1.6    0.1 
plum              33.4   27.5   17.4    7.3    0.7 
pomegranate       15.0    9.2    5.5    1.8    0.1 
potato            73.9   61.0   42.7   15.4    1.3 
pumpkin            9.9    9.5    6.2    2.7    0.4 
quince           595.3  316.9  139.0   28.8    0.5 
radish            18.0   12.3    9.2    3.2    0.2 
raisin             9.0   10.9   10.6   11.0    4.9 
raspberry         67.2  103.9  139.1  185.4  210.1 
rhubarb           18.6   24.9   27.9   30.7   18.2 
rosemary          84.9   80.4   75.5   51.6   14.9 
rutabaga           2.3    1.2    0.5    0.1    0.0 
sage              68.0   78.5   80.0   74.7   32.9 
scallion          15.7    7.7    3.5    0.5    0.0 
spinach           26.4   31.5   38.6   38.9   26.0 
strawberry        13.6   14.1   13.1   11.5    4.0 
tamarind         227.3  192.1  138.3   64.6    6.9 
tangerine         64.2   76.3   88.9   95.1   67.4 
thyme             13.2   12.7   10.9    6.0    1.3 
tomato             3.6    1.3    0.4    0.0    0.0 
turnip            18.8   24.9   29.3   29.7   24.9 
wasabi            24.3   16.6   11.2    3.3    0.2 
watercress        22.8   19.4   17.4    8.4    1.4 
watermelon        21.6   13.7    7.4    1.5    0.0 
yam               16.2   11.5    8.1    2.7    0.2 
zucchini         104.6  161.3  205.7  342.9  495.1 
OR4F5             30.9   30.0   23.4   15.3    3.5 
FO538757.2        30.1   20.3   12.1    2.9    0.2 
FO538757.1        27.1   12.9    6.4    1.1    0.0 
OR4F29           142.0  110.2   73.5   30.5    3.4 
OR4F16            87.8   63.0   42.3   14.4    1.1 
SAMD11            21.1    8.2    3.7    0.4    0.0 
NOC2L            189.2  162.0  135.3   66.7    8.5 
KLHL17            42.4   62.1   82.7  107.7  134.7 
PLEKHN1            8.8    1.4    0.2    0.0    0.0 
PERM1              2.8    0.9    0.2    0.0    0.0 
HES4              30.6    4.9    0.7    0.0    0.0 
ISG15             76.9  102.7  111.0  137.1   99.9 
AGRN              43.0   53.7   66.7   69.7   47.5 
RNF223             4.6    2.6    1.3    0.3    0.0 
C1orf159          13.9   19.5   26.7   34.6   41.4 
TTLL10           317.4  469.4  581.4  758.8  852.6 
TNFRSF18          35.4   31.6   22.8   11.6    1.6 
TNFRSF4           27.0   34.4   40.7   44.0   34.6 
SDF4             593.8  522.8  378.5  157.9   18.1 
B3GALT6           21.5    9.8    3.9    0.5    0.0 
FAM132A           10.1    4.7    2.0    0.3    0.0 
UBE2J2            28.5   11.9    4.7    0.6    0.0 
SCNN1D            98.5   69.5   51.6   15.1    1.1 
ACAP3             26.0   12.9    5.7    0.8    0.0 
PUSL1              7.5    6.6    5.2    2.5    0.4 
CPSF3L           398.6  400.3  357.1  271.2   85.9 
CPTP             132.0  200.7  316.3  512.2  974.4 
TAS1R3            90.4   66.9   37.4   10.0    0.5 
DVL1               8.5   10.2   11.9   11.9    6.6 
MXRA8            252.4  322.1  338.1  298.9  153.0 
AURKAIP1           9.5    6.8    4.2    1.4    0.1 
CCNL2             12.1    6.1    3.2    0.7    0.0 
MRPL20            33.5   28.0   21.4    9.4    1.1 
ANKRD65            8.8    7.2    5.8    2.7    0.3 
TMEM88B           37.4   17.8    7.6    1.0    0.0 
VWA1              54.4   39.7   30.8   15.4    2.0 
ATAD3C            18.8   18.5   18.8   13.6    5.1 
ATAD3B            99.0   86.7   74.4   42.9    6.2 
ATAD3A            13.7   18.6   16.9   14.1    6.0 
TMEM240           25.3   13.8    7.9    1.6    0.0 
SSU72             20.9   20.3   18.4   11.1    2.7 
AL645728.1        50.8   57.5   62.0   47.6   21.2 
FNDC10             2.0    1.0    0.5    0.1    0.0 
MIB2              14.9    7.8    3.2    0.4    0.0 
MMP23B            23.2   18.9   13.1    6.4    0.8 
CDK11B            11.1   12.7   12.0    7.0    1.9 
SLC35E2B          39.6   24.1   15.3    3.9    0.1 
CDK11A            62.0   71.0   72.6   62.5   27.8 
SLC35E2            5.1    3.6    2.3    0.8    0.1 
NADK               7.0    5.3    3.5    1.3    0.1 
GNB1              31.4   22.7   14.1    4.7    0.4 
CALML6            42.5   47.2   42.9   29.9   10.5 
TMEM52            79.6  112.6  156.8  216.3  255.9 
CFAP74            20.8   21.7   23.0   19.0    6.3 
GABRD             38.9   42.0   44.4   34.8   12.5 
PRKCZ              7.3    3.7    1.4    0.2    0.0 
FAAP20            35.8   28.6   22.2   10.2    1.3 
SKI               27.9   41.9   55.8   91.7  121.4 
MORN1             15.5   13.6    9.8    4.5    0.6 
RER1              27.9   18.7   13.0    4.1    0.3 
PEX10             24.1   28.8   25.6   22.5    9.8 
PLCH2             13.2    7.2    3.9    0.8    0.0 
PANK4             11.4    3.6    0.9    0.1    0.0 
HES5               6.5    4.7    2.8    0.8    0.0 
TNFRSF14          77.5   75.0   68.5   39.4   11.0 
FAM213B           22.2   18.3   13.9    6.4    0.7 
MMEL1             13.7    5.2    1.8    0.1    0.0 
TTC34              0.8    0.6    0.4    0.2    0.0 
ACTRT2            46.7   67.9   61.6   57.7   31.7 
PRDM16           115.3  105.3   86.7   43.3    7.3 
ARHGEF16          23.4    7.3    2.1    0.1    0.0 
MEGF6             69.2   77.2   83.5   79.1   36.7 
TPRG1L             6.6    2.5    0.8    0.1    0.0 
WRAP73            41.3   14.2    4.8    0.4    0.0 
TP73              25.6   15.0    7.2    1.4    0.0 
CCDC27            55.9   67.2   64.8   50.4   18.6 
SMIM1            112.3   79.4   51.1   16.1    1.1 
LRRC47             5.5    2.4    0.9    0.1    0.0 
CEP104             7.9    4.5    2.0    0.4    0.0 
DFFB             143.0  175.3  199.6  227.1  168.2 
C1orf174           8.2    5.8    3.1    0.8    0.0 
AJAP1             13.2    5.3    1.6    0.1    0.0 
NPHP4             55.0   36.8   21.4    7.1    0.4 
KCNAB2            30.8   25.4   18.4    9.2    1.2 
CHD5              62.1   75.5   83.3   82.7   39.8 
RPL22             48.9   54.5   58.7   55.0   30.6 
RNF207             8.8    3.8    1.3    0.1    0.0 
ICMT              16.1    9.0    4.4    0.8    0.0 
HES3              72.6   86.0  100.3  102.8   67.5 
GPR153             9.1    3.8    1.4    0.1    0.0 
ACOT7             14.0    6.7    2.8    0.5    0.0 
HES2              12.0   15.9   19.1   21.5   16.4 
ESPN              32.0   14.4    5.6    0.6    0.0 
TNFRSF25          15.7   14.8   11.6    7.2    1.4 
PLEKHG5           27.9   25.1   19.2    8.2    0.9 
NOL9             137.0  125.4  115.8   74.4   17.3 
TAS1R1             5.6    4.2    3.1    1.6    0.2 
ZBTB48            10.5   15.1   17.3   22.0   16.1 
KLHL21            23.5   26.1   24.8   20.7    7.8 
PHF13            124.8  228.1  316.5  675.2 1470.6 
THAP3             81.6  102.9  101.6  112.9   65.9 
DNAJC11           25.7   17.8    8.6    2.3    0.1 
CAMTA1            63.8   37.5   19.3    4.0    0.1 
VAMP3              3.6    0.7    0.1    0.0    0.0 
PER3              21.4    9.5    5.1    0.8    0.0 
UTS2               6.3    4.4    2.7    0.8    0.1 
TNFRSF9           11.6    9.6    8.1    4.4    0.8 
PARK7             25.9   24.8   20.5   12.2    2.5 
ERRFI1            93.8  153.3  189.2  237.1  198.0 
SLC45A1           12.5   18.8   20.1   26.1   23.9 
RERE               3.8    1.7    0.8    0.1    0.0 
ENO1              12.6   13.0   12.5    8.5    2.9 
CA6               11.5   10.4    8.8    4.6    0.8 
SLC2A7            15.2    8.0    3.8    0.5    0.0 
SLC2A5            52.0   35.4   25.3    9.3    0.7 
GPR157           108.4  112.1   99.9   63.2   18.5 
H6PD               4.3    2.1    0.9    0.2    0.0 
SPSB1             28.7   20.7   16.5    8.4    1.2 
SLC25A33         126.4  222.1  300.9  549.5 1087.5 
TMEM201           14.3   18.6   19.3   17.9   10.0 
PIK3CD            32.9   36.2   35.3   28.2    9.7 
CLSTN1            32.7   44.8   50.9   57.9   42.8 
AL357140.1        28.6   10.5    2.5    0.2    0.0 
CTNNBIP1          20.0   20.5   21.6   15.6    4.7 
LZIC              47.7   49.8   50.3   42.7   16.3 
NMNAT1            41.7   43.0   51.6   27.5   11.7 
RBP7               9.2    0.6    0.0    0.0    0.0 
UBE4B            131.6  112.4   91.1   48.2    8.9 
KIF1B             81.5   78.0   52.8   30.9    4.5 
PGD               11.6   10.1    6.5    2.5    0.2 
APITD1-CORT       42.4   37.5   26.1   11.0    1.3 
APITD1            29.7   20.5   11.2    2.8    0.1 
CORT              82.7   79.9   56.1   30.6    4.1 
DFFA             163.2  171.2  188.2  121.2   51.7 
PEX14             21.3   31.9   37.4   56.6   66.1 
CASZ1             21.6    6.5    1.9    0.1    0.0 
C1orf127           3.2    1.9    1.1    0.3    0.0 
TARDBP            82.2  143.9  187.8  333.6  582.9 
RP4-635E18.9      10.1   11.0   10.9    7.4    2.6 
MASP2              5.6    3.8    3.0    1.3    0.1 
SRM               44.6   52.7   59.4   57.7   32.1 
EXOSC10           14.5    8.9    5.4    1.4    0.1 
MTOR              55.7   51.3   42.9   24.7    4.2 
ANGPTL7           94.5   40.8   18.9    2.6    0.0 
UBIAD1            53.8   43.4   32.7   16.6    2.3 
DISP3            131.0  136.4  156.4  112.2   57.6 
FBXO2            256.9  300.6  296.4  235.3   94.9 
FBXO44            17.8   14.2   11.6    4.5    0.5 
FBXO6            363.7  561.0  747.8  974.3 1242.4 
MAD2L2            20.4    7.8    3.7    0.5    0.0 
DRAXIN             3.5    4.2    4.2    3.4    1.4 
AGTRAP            15.4    1.8    0.2    0.0    0.0 
C1orf167          77.9   77.6   66.5   41.0   10.3 
MTHFR             14.9   13.1   10.0    5.7    0.9 
CLCN6             12.5    9.1    7.5    2.8    0.3 
NPPA               4.6    4.1    3.3    1.6    0.2 
NPPB               8.8    5.0    2.6    0.6    0.0 
KIAA2013         120.1  149.1  160.8  136.8   57.3 
PLOD1             20.5    4.2    0.7    0.0    0.0 
MFN2              72.4   64.8   46.2   21.9    2.5 
MIIP              25.0   29.1   32.2   30.5   16.9 
TNFRSF8           28.4   18.0   10.5    2.5    0.1 
TNFRSF1B          87.0  120.0  152.2  176.8  167.7 
VPS13D           107.7  198.2  256.0  419.5  624.6 
DHRS3              6.1    3.6    2.1    0.5    0.0 
AADACL4           16.8   10.3    6.5    1.9    0.1 
AADACL3          126.7  172.3  192.7  254.2  221.2 
C1orf158          15.7    8.3    3.5    0.4    0.0 
PRAMEF12          25.8   32.5   37.2   43.3   34.8 
PRAMEF1          313.8  183.0  104.2   26.4    1.1 
PRAMEF11         120.0  165.0  193.9  275.1  225.8 
HNRNPCL1           9.0   10.2   10.6   10.0    4.5 
PRAMEF2          272.6  348.7  332.7  299.0  135.7 
PRAMEF4          109.0  104.2   99.6   69.5   17.9 
PRAMEF10          43.6   43.0   33.9   17.7    3.3 
PRAMEF7           10.5    5.0    2.0    0.3    0.0 
PRAMEF6           10.2    2.8    0.7    0.0    0.0 
PRAMEF27           5.6    3.7    2.3    0.7    0.0 
PRAMEF25          60.3   47.3   33.0   11.2    0.8 
HNRNPCL3          12.4   15.3   16.8   16.8   10.0 
HNRNPCL2          82.8   36.5   15.2    1.9    0.0 
PRAMEF26         149.2  219.1  277.1  390.0  404.9 
HNRNPCL4         156.5  184.5  172.8  134.1   45.9 
PRAMEF9            2.1    1.2    0.5    0.1    0.0 
PRAMEF18          83.8   99.3   92.6   79.6   29.5 
PRAMEF5          185.9  114.1   71.1   20.8    0.9 
PRAMEF8            8.1    4.6    2.4    0.5    0.0 
PRAMEF15          15.3   13.9   10.3    4.9    0.7 
PRAMEF14          49.7   28.6   17.2    3.4    0.1 
PRAMEF19          10.5    9.1    7.9    3.9    0.7 
PRAMEF17           4.5    1.7    0.5    0.0    0.0 
PRAMEF20          12.1   15.2   16.7   14.8   10.2 
LRRC38           181.5  297.0  414.2  543.9  794.4 
PDPN              23.0   18.1   13.5    5.7    0.6 
PRDM2             71.9   73.6   54.7   36.1    7.8 
KAZN              82.5   48.5   34.1    8.8    0.4 
TMEM51            55.1   53.9   49.8   32.0    7.3 
FHAD1             25.9   24.0   20.6   11.7    2.5 
EFHD2             66.5   92.8  100.3  109.3   62.0 
CTRC              29.8   22.5   18.1    8.2    1.1 
CELA2A             2.7    0.6    0.1    0.0    0.0 
CELA2B            31.5   15.8    8.0    1.5    0.0 
CASP9             74.9   49.3   28.3    8.7    0.4 
DNAJC16           73.8   76.2   70.8   45.0   10.0 
AGMAT             79.4   45.7   25.7    6.2    0.2 
DDI2              36.0   33.7   29.6   14.5    2.7 
RSC1A1             8.8    4.6    2.2    0.4    0.0 
PLEKHM2          103.3  143.4  182.5  202.9  158.7 
SLC25A34          10.4    7.2    4.7    1.6    0.1 
TMEM82            11.7    1.4    0.2    0.0    0.0 
FBLIM1             6.6    2.9    1.2    0.2    0.0 
UQCRHL             9.2    7.5    5.3    2.4    0.3 
SPEN              44.6   60.3   62.2   57.5   31.8 
ZBTB17            22.9   25.8   26.5   20.9    7.2 
C1orf64           27.0   21.3   16.8    7.7    0.8 
HSPB7            151.3  170.4  148.5  123.6   37.4 
CLCNKA           272.0  312.7  340.7  335.9  165.8 
CLCNKB            33.1   16.0    9.0    1.7    0.0 
FAM131C           43.0   50.3   61.9   52.4   33.8 
EPHA2              5.9    4.8    3.0    1.0    0.1 
ARHGEF19           5.4    3.8    1.9    0.4    0.0 
RSG1               1.0    0.6    0.4    0.1    0.0 
FBXO42           182.6  117.5   60.9   19.6    1.0 
SZRD1             77.6   99.7  118.3  142.8  123.2 
SPATA21           43.2   42.0   38.4   20.5    4.1 
NECAP2            15.3   14.1   13.1    6.8    1.3 
FAM231B           45.3   57.4   72.8   63.4   53.1 
NBPF1             33.8   31.1   30.1   19.1    6.5 
FAM231A           10.4    5.1    2.4    0.4    0.0 
FAM231C          108.4   44.8   23.5    3.3    0.1 
CROCC             65.9   36.0   19.2    4.2    0.1 
MFAP2             21.3   15.4   11.1    4.2    0.3 
ATP13A2           11.2    2.6    0.6    0.0    0.0 
SDHB              80.7   84.9   63.9   29.0    4.9 
PADI2              9.7    3.3    1.3    0.1    0.0 
PADI1             52.5   84.5  109.4  189.8  326.5 
PADI3              2.4    1.2    0.5    0.1    0.0 
PADI4              4.7    1.0    0.2    0.0    0.0 
AC004824.1       157.7  177.4  168.4  118.1   33.6 
PADI6             70.0   44.4   30.0   11.2    0.7 
RCC2              56.5   50.0   40.9   22.6    2.7 
ARHGEF10L        161.7  153.3  138.3   72.0   11.2 
ACTL8              4.1    3.2    2.1    0.8    0.1 
IGSF21            22.5   11.6    4.2    0.6    0.0 
KLHDC7A            8.4    6.6    5.1    2.3    0.3 
PAX7              43.2   20.4    9.3    1.5    0.0 
TAS1R2            79.4   97.3  109.1   93.9   52.2 
RP13-279N23.2     15.9   10.6    6.9    2.3    0.1 
ALDH4A1            4.7    4.1    3.0    1.3    0.2 
IFFO2             12.0    9.2    5.7    1.8    0.1 
UBR4             180.6  204.8  264.5  281.4  162.8 
EMC1              22.5   19.8   15.1    7.5    1.0 
MRTO4             19.6   11.1    6.4    1.2    0.0 
AKR7A3            98.6  140.4  179.9  200.2  177.5 
AKR7A2            12.7   13.0   13.6    8.8    2.6 
PQLC2              7.2    5.1    2.8    0.7    0.0 
CAPZB             11.2    9.8    8.0    4.7    0.8 
MINOS1             3.5    2.0    1.0    0.2    0.0 
MINOS1-NBL1       49.9   48.7   46.8   34.4   10.7 
NBL1              16.7    9.6    4.6    0.9    0.0 
HTR6              10.5    0.6    0.0    0.0    0.0 
TMCO4             78.7   63.4   42.3   16.9    1.5 
RNF186            58.5   28.4   10.5    1.9    0.0 
OTUD3             28.4   23.1   18.0    7.8    0.8 
PLA2G2E           52.1   17.4    4.6    0.3    0.0 
PLA2G2A            3.2    1.1    0.4    0.0    0.0 
PLA2G5            66.8   61.7   50.8   24.3    4.4 
PLA2G2D           87.9   39.7   18.8    3.0    0.0 
PLA2G2F           19.6   13.5    7.0    1.6    0.0 
PLA2G2C            5.0    3.8    2.5    0.9    0.1 
UBXN10             5.1    2.5    1.1    0.2    0.0 
VWA5B1            17.4   11.9    5.8    1.5    0.0 
CAMK2N1           10.5    3.9    1.7    0.2    0.0 
MUL1              96.3  111.2  135.4  135.9   75.7 
FAM43B            15.7    8.2    3.4    0.6    0.0 
CDA               37.0   27.0   21.4    8.6    0.9 
PINK1             47.1   51.3   46.7   28.7    6.2 
DDOST              7.0    4.8    3.2    1.0    0.1 
KIF17             20.6   16.8   12.8    5.4    0.7 
SH2D5             50.2   24.0   12.2    2.9    0.1 
HP1BP3             1.7    0.2    0.0    0.0    0.0 
EIF4G3            14.9   10.7    7.0    2.4    0.2 
ECE1              59.3   81.0   77.8   78.2   44.8 
NBPF3             11.9    6.1    2.7    0.5    0.0 
ALPL              11.5   14.2   16.5   14.7    6.7 
RAP1GAP           21.2   10.9    4.5    0.8    0.0 
USP48             45.0   28.4   14.0    3.0    0.1 
LDLRAD2           10.8   12.3   13.0    9.5    4.0 
HSPG2             20.9   16.2    9.7    3.4    0.3 
CELA3B            51.1   52.4   40.6   21.0    3.6 
CELA3A            34.8   35.2   34.3   23.9    6.3 
CDC42             35.6   44.3   50.9   47.0   30.6 
WNT4               2.6    0.9    0.3    0.0    0.0 
ZBTB40            17.1    8.7    3.8    0.6    0.0 
EPHA8              9.8    7.2    4.2    1.4    0.1 
C1QA              10.5    3.6    1.0    0.1    0.0 
C1QC              57.4   70.6   78.4   77.1   48.4 
C1QB              34.9   27.5   21.9    9.6    1.0 
EPHB2             89.8   86.8   67.0   34.0    5.7 
LACTBL1           22.3   17.9   14.6    6.9    1.1 
C1orf234         103.6  139.0  161.8  168.0  123.5 
KDM1A             75.1   11.5    1.8    0.0    0.0 
LUZP1            136.9  131.3  111.6   60.6   11.0 
HTR1D             92.1   78.3   64.7   28.4    4.1 
HNRNPR            38.1   30.3   18.8    7.1    0.5 
ZNF436            21.0    5.8    1.5    0.1    0.0 
TCEA3             71.1   42.1   23.4    4.3    0.1 
ASAP3             62.5   85.5  110.8  130.3  122.2 
E2F2              62.2   64.6   55.8   42.9   13.0 
ID3               10.8    8.8    5.9    2.3    0.2 
MDS2              80.3   40.3   21.4    3.8    0.1 
RPL11              5.0    1.1    0.2    0.0    0.0 
TCEB3              1.2    0.1    0.0    0.0    0.0 
PITHD1           421.5  555.4  842.0 1259.0 1542.6 
LYPLA2            42.0   33.8   24.7   10.4    1.2 
GALE             130.8  199.4  298.7  647.3 1251.8 
HMGCL             19.0   19.8   20.9   19.5   10.3 
FUCA1             14.3    9.2    6.1    1.5    0.1 
CNR2              14.7    6.5    2.5    0.2    0.0 
PNRC2             74.7   56.3   39.4   14.4    1.1 
SRSF10            35.1   28.6   18.6    6.6    0.7 
MYOM3              6.9    5.6    3.3    1.4    0.1 
IL22RA1           85.1  130.3  175.2  226.6  244.3 
IFNLR1           120.9  166.8  172.8  152.1   78.9 
GRHL3              1.8    0.6    0.1    0.0    0.0 
STPG1              7.4    2.3    0.8    0.1    0.0 
NIPAL3            77.6   88.3   80.2   54.3   16.8 
RCAN3              2.2    0.4    0.1    0.0    0.0 
NCMAP              8.0    2.1    0.4    0.0    0.0 
SRRM1             16.4    4.5    1.1    0.1    0.0 
CLIC4             11.1    2.4    0.5    0.0    0.0 
RUNX3              8.0    5.2    3.1    0.8    0.0 
SYF2              34.7   21.5   13.4    4.2    0.2 
RSRP1             26.4   24.5   21.2   11.6    2.4 
RHD               83.2   69.0   51.9   25.2    3.5 
TMEM50A            1.8    1.0    0.5    0.1    0.0 
RHCE              27.1    5.9    1.0    0.0    0.0 
TMEM57            60.2   88.6   96.7  122.3  111.4 
LDLRAP1           14.5    2.1    0.3    0.0    0.0 
MAN1C1            20.8    8.5    3.2    0.3    0.0 
SEPN1             23.6   37.3   54.7   84.1  118.0 
RP1-317E23.6     106.8  148.3  205.0  272.5  309.5 
MTFR1L           115.3   97.4   78.6   43.2    5.3 
AUNIP             14.3    8.3    4.5    0.8    0.0 
PAQR7             29.3   15.4    7.7    1.3    0.0 
STMN1             47.5   28.0   14.6    3.4    0.1 
PAFAH2             2.0    0.9    0.3    0.0    0.0 
EXTL1             44.3   32.8   19.8    6.7    0.4 
SLC30A2           19.6   15.9   14.1    8.4    1.5 
TRIM63             8.0    7.3    5.5    2.9    0.4 
PDIK1L           284.2  303.9  376.4  360.7  191.6 
FAM110D            8.8    4.0    1.7    0.3    0.0 
RP11-96L14.8      22.0    6.3    1.7    0.1    0.0 
RP11-96L14.7     106.3  114.4  107.1   64.3   15.9 
ZNF593           174.5  175.8  148.8  102.2   21.9 
CNKSR1            29.0   13.4    7.0    1.3    0.0 
CATSPER4          77.3  130.5  170.3  282.9  446.5 
CEP85             19.3   14.6    9.0    2.7    0.2 
SH3BGRL3          49.8   33.5   22.4    7.8    0.5 
UBXN11            55.5   61.4   56.8   40.7   14.9 
CD52              21.6   28.4   30.8   39.5   28.5 
AIM1L             24.1   33.7   41.3   52.1   50.4 
ZNF683            10.1    5.8    2.9    0.5    0.0 
LIN28A            30.6   31.9   26.6   19.0    4.4 
DHDDS              4.6    1.1    0.3    0.0    0.0 
HMGN2            115.8  155.3  194.4  235.1  170.9 
RPS6KA1           21.8   10.0    4.1    0.5    0.0 
ARID1A             6.2    0.4    0.0    0.0    0.0 
PIGV              58.6   44.9   30.0   11.1    1.0 
ZDHHC18           15.8   16.1   16.6   12.0    4.0 
SFN                6.2    5.3    5.0    2.9    0.7 
GPN2              25.4   23.8   18.1    9.3    1.4 
GPATCH3            4.6    2.0    0.8    0.1    0.0 
NUDC              21.5    4.9    1.2    0.1    0.0 
NR0B2             25.9   18.0   10.7    3.1    0.2 
KDF1              10.4    9.8    8.6    4.5    1.0 
TRNP1              7.9    9.2    9.1    8.5    3.4 
FAM46B           103.4  100.5  100.4   59.9   17.3 
AL137860.1       106.6   91.7  120.7   90.7   39.2 
SLC9A1             2.1    1.7    1.2    0.5    0.1 
WDTC1             28.5   22.1   15.1    6.9    0.8 
TMEM222            8.5    4.0    1.8    0.2    0.0 
SYTL1             40.1   14.8    5.0    0.4    0.0 
MAP3K6            11.2    9.2    6.5    2.9    0.3 
FCN3             158.5   64.8   25.5    3.2    0.0 
CD164L2            6.9    5.8    3.8    1.4    0.1 
GPR3              26.3   33.8   42.1   49.2   42.6 
WASF2             74.7   66.5   42.9   15.9    1.5 
AHDC1             56.3   47.8   36.3   15.5    1.9 
FGR               35.7   31.4   23.2   10.7    1.3 
IFI6              18.5   21.1   20.3   19.1    6.9 
FAM76A             1.1    0.2    0.0    0.0    0.0 
STX12             41.6   42.7   44.3   40.7   17.6 
PPP1R8            68.8   88.1  105.8  129.9  113.3 
AL109927.1        27.3   32.5   40.9   39.2   27.2 
THEMIS2           48.9   46.6   35.5   18.3    3.1 
RPA2               8.9    8.3    6.1    3.1    0.4 
SMPDL3B            8.1    5.5    3.3    1.0    0.0 
XKR8              70.7   55.0   45.2   25.1    4.1 
EYA3              41.6   32.1   24.1    8.8    0.7 
PTAFR             44.9   28.0   15.8    4.3    0.2 
DNAJC8            35.2   30.3   22.9   10.8    1.3 
ATPIF1            20.1   10.0    4.6    0.8    0.0 
SESN2             50.8   20.9    8.0    1.0    0.0 
MED18             18.2   18.2   18.6   15.7    5.7 
PHACTR4            6.9    5.6    4.4    2.1    0.2 
RCC1              17.4   12.4    7.5    2.6    0.2 
TRNAU1AP          31.0   44.4   61.6   85.8  102.4 
TAF12             26.6   27.4   23.5   17.7    4.8 
RAB42             88.9  103.5  108.5  131.2  110.0 
GMEB1             71.2   65.6   49.8   26.6    3.7 
YTHDF2            27.0    6.8    1.6    0.1    0.0 
OPRD1             52.7   50.9   50.9   32.7    9.4 
EPB41             57.7   25.0    8.1    0.9    0.0 
TMEM200B          84.2  119.3  136.5  132.8   92.9 
SRSF4             36.7   39.0   38.7   34.2   15.5 
MECR             131.4  265.1  442.0  759.4 2104.3 
PTPRU             17.3    7.0    2.3    0.2    0.0 
MATN1             70.8   47.9   26.8    6.8    0.3 
LAPTM5           105.9   71.8   37.1    8.6    0.2 
